clip,zone,entries_total,exits_total,entries_person,exits_person,entries_vat,exits_vat,avg_occupancy,max_occupancy,occupied_frames,total_dwell_seconds,avg_person_occupancy,avg_vat_occupancy
clip_A,left_transit_lane,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
clip_A,rack_buffer_area,2,0,2,0,0,0,1.389,2,180,41.667,1.389,0.0
clip_A,machine_service_area,2,0,1,0,1,0,1.022,2,180,30.667,0.022,1.0
clip_A,front_vat_staging,7,5,5,5,2,0,2.344,4,180,70.333,0.344,2.0
clip_A,right_loading_area,4,3,4,3,0,0,0.983,2,175,29.5,0.983,0.0
clip_B,left_transit_lane,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
clip_B,rack_buffer_area,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
clip_B,machine_service_area,3,3,3,3,0,0,0.206,1,37,6.166,0.206,0.0
clip_B,front_vat_staging,5,2,3,2,2,0,3.106,4,180,93.167,1.106,2.0
clip_B,right_loading_area,3,1,3,1,0,0,1.678,2,180,50.333,1.678,0.0
